date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:57	46583/46583	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20May%202021%2010:58:28%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html	(from )
12:48:57	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jul%202021%2007:18:57%20GMT	http://rtsolutionz.com/robots.txt		(from )
12:48:58	1167/1167	---M--	200	added ('OK')	image/png	date:Sat,%2015%20May%202021%2020:54:36%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/images/favicon.png	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/images/favicon.png	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:48:58	144877/144877	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2019:55:54%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/bootstrap.min.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:48:59	215655/215655	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Jun%202021%2011:44:31%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/style.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/style.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:49:00	2936/2936	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2019:55:54%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/owl.carousel.min.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:49:00	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2022:43:12%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/owl.theme.default.min.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:49:01	29062/29062	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2019:55:54%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/font-awesome.min.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:49:01	16450/16450	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Feb%202019%2013:24:16%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/themify-icons.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/themify-icons.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
12:49:01	51304/51304	---M-Z	200	added ('OK')	text/css	date:Sat,%2003%20Jan%202015%2019:02:30%20GMT	http://rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/ionicons.min.css	C:/My%20Web%20Sites/adminpannel/rtsolutionz.com/vizzstudio/demo-falr/falr/assets/css/ionicons.min.css	(from http://rtsolutionz.com/vizzstudio/demo-falr/falr/dark-theme/full-calendar.html)
